Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Registrasi,Chrome 121.0.0.0,,,12-02-2024 09:23:39,12-02-2024 09:31:38,7m - 59.480s,PASSED
,,,,,,,
Test Cases/6_user/1_registrasi,Chrome 121.0.0.0,,,12-02-2024 09:23:40,12-02-2024 09:24:39,59.139s,PASSED
ruslan.initial.openBrowser(),Chrome 121.0.0.0,,,12-02-2024 09:23:41,12-02-2024 09:23:53,12.115s,PASSED
"click(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/1_profile""))",Chrome 121.0.0.0,,,12-02-2024 09:23:53,12-02-2024 09:23:57,3.858s,PASSED
"click(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/2_create_new_account""))",Chrome 121.0.0.0,,,12-02-2024 09:23:57,12-02-2024 09:23:58,0.841s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/3_username""), username)",Chrome 121.0.0.0,,,12-02-2024 09:23:58,12-02-2024 09:24:04,5.869s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/4_email""), email)",Chrome 121.0.0.0,,,12-02-2024 09:24:04,12-02-2024 09:24:05,1.404s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/5_password""), password)",Chrome 121.0.0.0,,,12-02-2024 09:24:05,12-02-2024 09:24:07,1.868s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/6_confirm_password""), confirm_password)",Chrome 121.0.0.0,,,12-02-2024 09:24:07,12-02-2024 09:24:09,1.895s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/7_first_name""), first_name)",Chrome 121.0.0.0,,,12-02-2024 09:24:09,12-02-2024 09:24:10,1.429s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/8_last_name""), last_name)",Chrome 121.0.0.0,,,12-02-2024 09:24:10,12-02-2024 09:24:12,1.782s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/9_phone""), phone)",Chrome 121.0.0.0,,,12-02-2024 09:24:12,12-02-2024 09:24:14,1.434s,PASSED
"selectOptionByLabel(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/10_country""), country, true)",Chrome 121.0.0.0,,,12-02-2024 09:24:14,12-02-2024 09:24:28,14.135s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/11_city""), city)",Chrome 121.0.0.0,,,12-02-2024 09:24:28,12-02-2024 09:24:29,1.446s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/12_address""), address)",Chrome 121.0.0.0,,,12-02-2024 09:24:29,12-02-2024 09:24:31,1.977s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/13_state""), state)",Chrome 121.0.0.0,,,12-02-2024 09:24:31,12-02-2024 09:24:33,1.956s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/14_poscal_code""), poscal_code)",Chrome 121.0.0.0,,,12-02-2024 09:24:33,12-02-2024 09:24:35,1.889s,PASSED
"click(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/15_check_exclusive_offers""))",Chrome 121.0.0.0,,,12-02-2024 09:24:35,12-02-2024 09:24:36,0.753s,PASSED
"click(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/16_Register""))",Chrome 121.0.0.0,,,12-02-2024 09:24:36,12-02-2024 09:24:37,0.646s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 09:24:39,12-02-2024 09:24:39,0.002s,PASSED
,,,,,,,
Test Cases/6_user/1_registrasi,Chrome 121.0.0.0,,,12-02-2024 09:24:39,12-02-2024 09:26:07,1m - 28.081s,PASSED
ruslan.initial.openBrowser(),Chrome 121.0.0.0,,,12-02-2024 09:24:39,12-02-2024 09:24:50,10.310s,PASSED
"click(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/1_profile""))",Chrome 121.0.0.0,,,12-02-2024 09:24:50,12-02-2024 09:24:56,6.942s,PASSED
"click(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/2_create_new_account""))",Chrome 121.0.0.0,,,12-02-2024 09:24:56,12-02-2024 09:24:59,2.449s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/3_username""), username)",Chrome 121.0.0.0,,,12-02-2024 09:24:59,12-02-2024 09:25:04,5.234s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/4_email""), email)",Chrome 121.0.0.0,,,12-02-2024 09:25:04,12-02-2024 09:25:08,3.958s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/5_password""), password)",Chrome 121.0.0.0,,,12-02-2024 09:25:08,12-02-2024 09:25:12,3.868s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/6_confirm_password""), confirm_password)",Chrome 121.0.0.0,,,12-02-2024 09:25:12,12-02-2024 09:25:16,4.155s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/7_first_name""), first_name)",Chrome 121.0.0.0,,,12-02-2024 09:25:16,12-02-2024 09:25:20,3.924s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/8_last_name""), last_name)",Chrome 121.0.0.0,,,12-02-2024 09:25:20,12-02-2024 09:25:24,4.100s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/9_phone""), phone)",Chrome 121.0.0.0,,,12-02-2024 09:25:24,12-02-2024 09:25:28,3.925s,PASSED
"selectOptionByLabel(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/10_country""), country, true)",Chrome 121.0.0.0,,,12-02-2024 09:25:28,12-02-2024 09:25:45,16.750s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/11_city""), city)",Chrome 121.0.0.0,,,12-02-2024 09:25:45,12-02-2024 09:25:49,4.006s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/12_address""), address)",Chrome 121.0.0.0,,,12-02-2024 09:25:49,12-02-2024 09:25:53,4.390s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/13_state""), state)",Chrome 121.0.0.0,,,12-02-2024 09:25:53,12-02-2024 09:25:57,3.751s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/14_poscal_code""), poscal_code)",Chrome 121.0.0.0,,,12-02-2024 09:25:57,12-02-2024 09:26:01,3.926s,PASSED
